Date_Key,Date,Day,Week_No,Month,Month_No,Quarter,Year
20050621,21-06-2005,Tuesday,26,Jun,6,2,2005
20050622,22-06-2005,Wednesday,26,Jun,6,2,2005
20050623,23-06-2005,Thursday,26,Jun,6,2,2005
20050624,24-06-2005,Friday,26,Jun,6,2,2005
20050625,25-06-2005,Saturday,26,Jun,6,2,2005
20050626,26-06-2005,Sunday,27,Jun,6,2,2005
20050627,27-06-2005,Monday,27,Jun,6,2,2005
20050628,28-06-2005,Tuesday,27,Jun,6,2,2005
20050629,29-06-2005,Wednesday,27,Jun,6,2,2005
20050630,30-06-2005,Thursday,27,Jun,6,2,2005
20050701,01-07-2005,Friday,27,Jul,7,3,2005
20050702,02-07-2005,Saturday,27,Jul,7,3,2005
20050703,03-07-2005,Sunday,28,Jul,7,3,2005
20050704,04-07-2005,Monday,28,Jul,7,3,2005
20050705,05-07-2005,Tuesday,28,Jul,7,3,2005
20050706,06-07-2005,Wednesday,28,Jul,7,3,2005
20050707,07-07-2005,Thursday,28,Jul,7,3,2005
20050708,08-07-2005,Friday,28,Jul,7,3,2005
20050709,09-07-2005,Saturday,28,Jul,7,3,2005
20050710,10-07-2005,Sunday,29,Jul,7,3,2005
20050711,11-07-2005,Monday,29,Jul,7,3,2005
20050712,12-07-2005,Tuesday,29,Jul,7,3,2005
20050713,13-07-2005,Wednesday,29,Jul,7,3,2005
20050714,14-07-2005,Thursday,29,Jul,7,3,2005
20050715,15-07-2005,Friday,29,Jul,7,3,2005
20050716,16-07-2005,Saturday,29,Jul,7,3,2005
20050717,17-07-2005,Sunday,30,Jul,7,3,2005
20050718,18-07-2005,Monday,30,Jul,7,3,2005
20050719,19-07-2005,Tuesday,30,Jul,7,3,2005
20050720,20-07-2005,Wednesday,30,Jul,7,3,2005
20050721,21-07-2005,Thursday,30,Jul,7,3,2005
20050722,22-07-2005,Friday,30,Jul,7,3,2005
20050723,23-07-2005,Saturday,30,Jul,7,3,2005
20050724,24-07-2005,Sunday,31,Jul,7,3,2005
20050725,25-07-2005,Monday,31,Jul,7,3,2005
20050726,26-07-2005,Tuesday,31,Jul,7,3,2005
20050727,27-07-2005,Wednesday,31,Jul,7,3,2005
20050728,28-07-2005,Thursday,31,Jul,7,3,2005
20050729,29-07-2005,Friday,31,Jul,7,3,2005
20050730,30-07-2005,Saturday,31,Jul,7,3,2005
20050731,31-07-2005,Sunday,32,Jul,7,3,2005
20050801,01-08-2005,Monday,32,Aug,8,3,2005
20050802,02-08-2005,Tuesday,32,Aug,8,3,2005
20050803,03-08-2005,Wednesday,32,Aug,8,3,2005
20050804,04-08-2005,Thursday,32,Aug,8,3,2005
20050805,05-08-2005,Friday,32,Aug,8,3,2005
20050806,06-08-2005,Saturday,32,Aug,8,3,2005
20050807,07-08-2005,Sunday,33,Aug,8,3,2005
20050808,08-08-2005,Monday,33,Aug,8,3,2005
20050809,09-08-2005,Tuesday,33,Aug,8,3,2005
20050810,10-08-2005,Wednesday,33,Aug,8,3,2005
20050811,11-08-2005,Thursday,33,Aug,8,3,2005
20050812,12-08-2005,Friday,33,Aug,8,3,2005
20050813,13-08-2005,Saturday,33,Aug,8,3,2005
20050814,14-08-2005,Sunday,34,Aug,8,3,2005
20050815,15-08-2005,Monday,34,Aug,8,3,2005
20050816,16-08-2005,Tuesday,34,Aug,8,3,2005
20050817,17-08-2005,Wednesday,34,Aug,8,3,2005
20050818,18-08-2005,Thursday,34,Aug,8,3,2005
20050819,19-08-2005,Friday,34,Aug,8,3,2005
20050820,20-08-2005,Saturday,34,Aug,8,3,2005
20050821,21-08-2005,Sunday,35,Aug,8,3,2005
20050822,22-08-2005,Monday,35,Aug,8,3,2005
20050823,23-08-2005,Tuesday,35,Aug,8,3,2005
20050824,24-08-2005,Wednesday,35,Aug,8,3,2005
20050825,25-08-2005,Thursday,35,Aug,8,3,2005
20050826,26-08-2005,Friday,35,Aug,8,3,2005
20050827,27-08-2005,Saturday,35,Aug,8,3,2005
20050828,28-08-2005,Sunday,36,Aug,8,3,2005
20050829,29-08-2005,Monday,36,Aug,8,3,2005
20050830,30-08-2005,Tuesday,36,Aug,8,3,2005
20050831,31-08-2005,Wednesday,36,Aug,8,3,2005
20050901,01-09-2005,Thursday,36,Sep,9,3,2005
20050902,02-09-2005,Friday,36,Sep,9,3,2005
20050903,03-09-2005,Saturday,36,Sep,9,3,2005
20050904,04-09-2005,Sunday,37,Sep,9,3,2005
20050905,05-09-2005,Monday,37,Sep,9,3,2005
20050906,06-09-2005,Tuesday,37,Sep,9,3,2005
20050907,07-09-2005,Wednesday,37,Sep,9,3,2005
20050908,08-09-2005,Thursday,37,Sep,9,3,2005
20050909,09-09-2005,Friday,37,Sep,9,3,2005
20050910,10-09-2005,Saturday,37,Sep,9,3,2005
20050911,11-09-2005,Sunday,38,Sep,9,3,2005
20050912,12-09-2005,Monday,38,Sep,9,3,2005
20050913,13-09-2005,Tuesday,38,Sep,9,3,2005
20050914,14-09-2005,Wednesday,38,Sep,9,3,2005
20050915,15-09-2005,Thursday,38,Sep,9,3,2005
20050916,16-09-2005,Friday,38,Sep,9,3,2005
20050917,17-09-2005,Saturday,38,Sep,9,3,2005
20050918,18-09-2005,Sunday,39,Sep,9,3,2005
20050919,19-09-2005,Monday,39,Sep,9,3,2005
20050920,20-09-2005,Tuesday,39,Sep,9,3,2005
20050921,21-09-2005,Wednesday,39,Sep,9,3,2005
20050922,22-09-2005,Thursday,39,Sep,9,3,2005
20050923,23-09-2005,Friday,39,Sep,9,3,2005
20050924,24-09-2005,Saturday,39,Sep,9,3,2005
20050925,25-09-2005,Sunday,40,Sep,9,3,2005
20050926,26-09-2005,Monday,40,Sep,9,3,2005
20050927,27-09-2005,Tuesday,40,Sep,9,3,2005
20050928,28-09-2005,Wednesday,40,Sep,9,3,2005
20050929,29-09-2005,Thursday,40,Sep,9,3,2005
20050930,30-09-2005,Friday,40,Sep,9,3,2005
20051001,01-10-2005,Saturday,40,Oct,10,4,2005
20051002,02-10-2005,Sunday,41,Oct,10,4,2005
20051003,03-10-2005,Monday,41,Oct,10,4,2005
20051004,04-10-2005,Tuesday,41,Oct,10,4,2005
20051005,05-10-2005,Wednesday,41,Oct,10,4,2005
20051006,06-10-2005,Thursday,41,Oct,10,4,2005
20051007,07-10-2005,Friday,41,Oct,10,4,2005
20051008,08-10-2005,Saturday,41,Oct,10,4,2005
20051009,09-10-2005,Sunday,42,Oct,10,4,2005
20051010,10-10-2005,Monday,42,Oct,10,4,2005
20051011,11-10-2005,Tuesday,42,Oct,10,4,2005
20051012,12-10-2005,Wednesday,42,Oct,10,4,2005
20051013,13-10-2005,Thursday,42,Oct,10,4,2005
20051014,14-10-2005,Friday,42,Oct,10,4,2005
20051015,15-10-2005,Saturday,42,Oct,10,4,2005
20051016,16-10-2005,Sunday,43,Oct,10,4,2005
20051017,17-10-2005,Monday,43,Oct,10,4,2005
20051018,18-10-2005,Tuesday,43,Oct,10,4,2005
20051019,19-10-2005,Wednesday,43,Oct,10,4,2005
20051020,20-10-2005,Thursday,43,Oct,10,4,2005
20051021,21-10-2005,Friday,43,Oct,10,4,2005
20051022,22-10-2005,Saturday,43,Oct,10,4,2005
20051023,23-10-2005,Sunday,44,Oct,10,4,2005
20051024,24-10-2005,Monday,44,Oct,10,4,2005
20051025,25-10-2005,Tuesday,44,Oct,10,4,2005
20051026,26-10-2005,Wednesday,44,Oct,10,4,2005
20051027,27-10-2005,Thursday,44,Oct,10,4,2005
20051028,28-10-2005,Friday,44,Oct,10,4,2005
20051029,29-10-2005,Saturday,44,Oct,10,4,2005
20051030,30-10-2005,Sunday,45,Oct,10,4,2005
20051031,31-10-2005,Monday,45,Oct,10,4,2005
20051101,01-11-2005,Tuesday,45,Nov,11,4,2005
20051102,02-11-2005,Wednesday,45,Nov,11,4,2005
20051103,03-11-2005,Thursday,45,Nov,11,4,2005
20051104,04-11-2005,Friday,45,Nov,11,4,2005
20051105,05-11-2005,Saturday,45,Nov,11,4,2005
20051106,06-11-2005,Sunday,46,Nov,11,4,2005
20051107,07-11-2005,Monday,46,Nov,11,4,2005
20051108,08-11-2005,Tuesday,46,Nov,11,4,2005
20051109,09-11-2005,Wednesday,46,Nov,11,4,2005
20051110,10-11-2005,Thursday,46,Nov,11,4,2005
20051111,11-11-2005,Friday,46,Nov,11,4,2005
20051112,12-11-2005,Saturday,46,Nov,11,4,2005
20051113,13-11-2005,Sunday,47,Nov,11,4,2005
20051114,14-11-2005,Monday,47,Nov,11,4,2005
20051115,15-11-2005,Tuesday,47,Nov,11,4,2005
20051116,16-11-2005,Wednesday,47,Nov,11,4,2005
20051117,17-11-2005,Thursday,47,Nov,11,4,2005
20051118,18-11-2005,Friday,47,Nov,11,4,2005
20051119,19-11-2005,Saturday,47,Nov,11,4,2005
20051120,20-11-2005,Sunday,48,Nov,11,4,2005
20051121,21-11-2005,Monday,48,Nov,11,4,2005
20051122,22-11-2005,Tuesday,48,Nov,11,4,2005
20051123,23-11-2005,Wednesday,48,Nov,11,4,2005
20051124,24-11-2005,Thursday,48,Nov,11,4,2005
